synthesizer,seed,n_active,outcome_noise_probability,method,coverage,width,n_candidates,n_rounds
external_ordinal,20268716,,,rule_aware_discretion,1.0,0.9573280423280423,7.0,3.0
external_ordinal,20268716,,,rule_agnostic_ordinal,1.0,1.0,7.0,4.0
external_ordinal,20268716,,,rule_aware_discretion,1.0,0.9592212301587302,7.0,4.0
internal_percentage,20269716,4.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,4.0,0.0,rule_aware_partial_identification,1.0,0.8238160923492897,,
internal_percentage,20269716,4.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,4.0,0.05,rule_aware_partial_identification,0.98,0.8166973969305839,,
internal_percentage,20269716,4.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,4.0,0.1,rule_aware_partial_identification,0.968,0.8248878967272495,,
internal_percentage,20269716,4.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,4.0,0.2,rule_aware_partial_identification,0.908,0.8001510295408667,,
internal_percentage,20269716,5.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,5.0,0.0,rule_aware_partial_identification,1.0,0.841153047754399,,
internal_percentage,20269716,5.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,5.0,0.05,rule_aware_partial_identification,0.984,0.8415893266134012,,
internal_percentage,20269716,5.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,5.0,0.1,rule_aware_partial_identification,0.976,0.8443331246471111,,
internal_percentage,20269716,5.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,5.0,0.2,rule_aware_partial_identification,0.908,0.8314200350464972,,
internal_percentage,20269716,6.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,6.0,0.0,rule_aware_partial_identification,1.0,0.8661592199625212,,
internal_percentage,20269716,6.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,6.0,0.05,rule_aware_partial_identification,0.98,0.8662430302852583,,
internal_percentage,20269716,6.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,6.0,0.1,rule_aware_partial_identification,0.964,0.8594199737123542,,
internal_percentage,20269716,6.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20269716,6.0,0.2,rule_aware_partial_identification,0.904,0.84849611325502,,
external_ordinal,20269716,,,rule_agnostic_ordinal,1.0,1.0,6.0,3.0
external_ordinal,20269716,,,rule_aware_discretion,1.0,0.9554166666666667,6.0,3.0
external_ordinal,20269716,,,rule_agnostic_ordinal,1.0,1.0,7.0,3.0
external_ordinal,20269716,,,rule_aware_discretion,1.0,0.9579365079365079,7.0,3.0
external_ordinal,20269716,,,rule_agnostic_ordinal,1.0,1.0,7.0,4.0
external_ordinal,20269716,,,rule_aware_discretion,1.0,0.9572271825396825,7.0,4.0
internal_percentage,20270716,4.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20270716,4.0,0.0,rule_aware_partial_identification,1.0,0.8211519928551431,,
internal_percentage,20270716,4.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20270716,4.0,0.05,rule_aware_partial_identification,0.98,0.8180032417822501,,
internal_percentage,20270716,4.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20270716,4.0,0.1,rule_aware_partial_identification,0.952,0.8152891064805425,,
internal_percentage,20270716,4.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20270716,4.0,0.2,rule_aware_partial_identification,0.904,0.8037005116377366,,
internal_percentage,20270716,5.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20270716,5.0,0.0,rule_aware_partial_identification,1.0,0.8469239947850673,,
internal_percentage,20270716,5.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20270716,5.0,0.05,rule_aware_partial_identification,0.98,0.8409890834668188,,
internal_percentage,20270716,5.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
