seed,n_active,outcome_noise_probability,method,n_replications,joint_set_coverage,projection_box_coverage,mean_width
20269716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20269716,6,0.05,rule_aware_partial_identification,250,0.936,0.98,0.866243030285
20269716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20269716,6,0.1,rule_aware_partial_identification,250,0.912,0.964,0.859419973712
20269716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20269716,6,0.2,rule_aware_partial_identification,250,0.788,0.904,0.848496113255
20270716,4,0,rule_agnostic_partial_identification,250,1,1,1
20270716,4,0,rule_aware_partial_identification,250,1,1,0.821151992855
20270716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20270716,4,0.05,rule_aware_partial_identification,250,0.932,0.98,0.818003241782
20270716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20270716,4,0.1,rule_aware_partial_identification,250,0.888,0.952,0.815289106481
20270716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20270716,4,0.2,rule_aware_partial_identification,250,0.788,0.904,0.803700511638
20270716,5,0,rule_agnostic_partial_identification,250,1,1,1
20270716,5,0,rule_aware_partial_identification,250,1,1,0.846923994785
20270716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20270716,5,0.05,rule_aware_partial_identification,250,0.948,0.98,0.840989083467
20270716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20270716,5,0.1,rule_aware_partial_identification,250,0.876,0.952,0.838634670937
20270716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20270716,5,0.2,rule_aware_partial_identification,250,0.824,0.94,0.835194954269
20270716,6,0,rule_agnostic_partial_identification,250,1,1,1
20270716,6,0,rule_aware_partial_identification,250,1,1,0.859534424071
20270716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20270716,6,0.05,rule_aware_partial_identification,250,0.94,0.964,0.862379592661
20270716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20270716,6,0.1,rule_aware_partial_identification,250,0.924,0.968,0.858640195553
20270716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20270716,6,0.2,rule_aware_partial_identification,250,0.828,0.92,0.852636784355
20271716,4,0,rule_agnostic_partial_identification,250,1,1,1
20271716,4,0,rule_aware_partial_identification,250,1,1,0.823325489855
20271716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20271716,4,0.05,rule_aware_partial_identification,250,0.948,0.992,0.822892328828
20271716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20271716,4,0.1,rule_aware_partial_identification,250,0.92,0.956,0.814653487502
20271716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20271716,4,0.2,rule_aware_partial_identification,250,0.792,0.916,0.811410803359
20271716,5,0,rule_agnostic_partial_identification,250,1,1,1
20271716,5,0,rule_aware_partial_identification,250,1,1,0.843189840338
20271716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20271716,5,0.05,rule_aware_partial_identification,250,0.92,0.972,0.842540813617
20271716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20271716,5,0.1,rule_aware_partial_identification,250,0.912,0.976,0.839542269413
20271716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20271716,5,0.2,rule_aware_partial_identification,250,0.816,0.924,0.836451946569
20271716,6,0,rule_agnostic_partial_identification,250,1,1,1
20271716,6,0,rule_aware_partial_identification,250,1,1,0.861352762263
20271716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20271716,6,0.05,rule_aware_partial_identification,250,0.932,0.968,0.860521749547
20271716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20271716,6,0.1,rule_aware_partial_identification,250,0.928,0.96,0.858848463904
20271716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20271716,6,0.2,rule_aware_partial_identification,250,0.804,0.916,0.849891097969
20272716,4,0,rule_agnostic_partial_identification,250,1,1,1
20272716,4,0,rule_aware_partial_identification,250,1,1,0.824431050523
20272716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20272716,4,0.05,rule_aware_partial_identification,250,0.936,0.976,0.822683998096
20272716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20272716,4,0.1,rule_aware_partial_identification,250,0.888,0.96,0.813199665508
20272716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20272716,4,0.2,rule_aware_partial_identification,250,0.78,0.9,0.800532400383
20272716,5,0,rule_agnostic_partial_identification,250,1,1,1
20272716,5,0,rule_aware_partial_identification,250,1,1,0.849506369715
20272716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20272716,5,0.05,rule_aware_partial_identification,250,0.952,0.984,0.844449248769
20272716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20272716,5,0.1,rule_aware_partial_identification,250,0.888,0.96,0.835571081783
20272716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20272716,5,0.2,rule_aware_partial_identification,250,0.84,0.94,0.842812338652
20272716,6,0,rule_agnostic_partial_identification,250,1,1,1
20272716,6,0,rule_aware_partial_identification,250,1,1,0.863980844754
20272716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20272716,6,0.05,rule_aware_partial_identification,250,0.956,0.972,0.860619528073
20272716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
